,index,place_id,name,latitud,longitud,rating,types,open_hours
0,0,ChIJD7G2bqduEg0ROdrTdOj1Jok,Plaza de España,37.3771957,-5.986892999999999,4.8,establishment,"{0: {'open': '0800', 'close': '2200'}, 1: {'open': '0800', 'close': '2200'}, 2: {'open': '0800', 'close': '2200'}, 3: {'open': '0800', 'close': '2200'}, 4: {'open': '0800', 'close': '2200'}, 5: {'open': '0800', 'close': '2200'}, 6: {'open': '0800', 'close': '2200'}}"
1,1,ChIJO7l_l7f8cQ0Rf6IhEu_RjYA,Alhambra,37.1760783,-3.5881413,4.8,museum,"{0: {'open': '0830', 'close': '2000'}, 1: {'open': '0830', 'close': '2000'}, 2: {'open': '0830', 'close': '2000'}, 3: {'open': '0830', 'close': '2000'}, 4: {'open': '0830', 'close': '2000'}, 5: {'open': '0830', 'close': '2000'}, 6: {'open': '0830', 'close': '2000'}}"
2,2,ChIJk_s92NyipBIRUMnDG8Kq2Js,La Sagrada Familia,41.4036299,2.1743558,4.7,church,"{0: {'open': '0900', 'close': '2000'}, 1: {'open': '0900', 'close': '2000'}, 2: {'open': '0900', 'close': '2000'}, 3: {'open': '0900', 'close': '2000'}, 4: {'open': '0900', 'close': '2000'}, 5: {'open': '0900', 'close': '2000'}, 6: {'open': '0900', 'close': '2000'}}"
3,3,ChIJYUFLSe2ipBIRD04uni940kA,Casa Batlló,41.39172809999999,2.1649487,4.6,establishment,"{0: {'open': '0830', 'close': '2015'}, 1: {'open': '0830', 'close': '2015'}, 2: {'open': '0830', 'close': '2015'}, 3: {'open': '0830', 'close': '2015'}, 4: {'open': '0830', 'close': '2015'}, 5: {'open': '0830', 'close': '2015'}, 6: {'open': '0830', 'close': '2015'}}"
4,5,ChIJwamkfX4oQg0RUUjO1nnsfy4,Royal Palace of Madrid,40.417955,-3.714311999999999,4.6,establishment,"{0: {'open': '1000', 'close': '1600'}, 1: {'open': '1000', 'close': '1900'}, 2: {'open': '1000', 'close': '1900'}, 3: {'open': '1000', 'close': '1900'}, 4: {'open': '1000', 'close': '1900'}, 5: {'open': '1000', 'close': '1900'}, 6: {'open': '1000', 'close': '1900'}}"
5,7,ChIJ7aLYZp0oQg0RWoitk33wlBA,Museo Nacional del Prado,40.4137818,-3.6921271,4.7,museum,"{0: {'open': '1000', 'close': '1900'}, 1: {'open': '1000', 'close': '2000'}, 2: {'open': '1000', 'close': '2000'}, 3: {'open': '1000', 'close': '2000'}, 4: {'open': '1000', 'close': '2000'}, 5: {'open': '1000', 'close': '2000'}, 6: {'open': '1000', 'close': '2000'}}"
6,8,ChIJq0HUUq6ipBIRWM6qGqALmok,Park Güell,41.4144948,2.1526945,4.4,park,"{0: {'open': '0930', 'close': '1930'}, 1: {'open': '0930', 'close': '1930'}, 2: {'open': '0930', 'close': '1930'}, 3: {'open': '0930', 'close': '1930'}, 4: {'open': '0930', 'close': '1930'}, 5: {'open': '0930', 'close': '1930'}, 6: {'open': '0930', 'close': '1930'}}"
7,9,ChIJS6JBjBlsEg0Rh_7Brr92qbo,Royal Alcázar of Seville,37.3830519,-5.9902257,4.7,park,"{0: {'open': '0930', 'close': '1700'}, 1: {'open': '0930', 'close': '1700'}, 2: {'open': '0930', 'close': '1700'}, 3: {'open': '0930', 'close': '1700'}, 4: {'open': '0930', 'close': '1700'}, 5: {'open': '0930', 'close': '1700'}, 6: {'open': '0930', 'close': '1700'}}"
8,10,ChIJv-yiGoMoQg0Rj1LLgnhKk1o,Thyssen-Bornemisza Museum,40.4160406,-3.6949254,4.6,museum,"{0: {'open': '1000', 'close': '1900'}, 1: {'open': '1200', 'close': '1600'}, 2: {'open': '1000', 'close': '1900'}, 3: {'open': '1000', 'close': '1900'}, 4: {'open': '1000', 'close': '1900'}, 5: {'open': '1000', 'close': '1900'}, 6: {'open': '1000', 'close': '2100'}}"
9,12,ChIJvQc62ygmQg0Rcb-6WdEUmDA,Museo Nacional Centro de Arte Reina Sofía,40.4079123,-3.6945569,4.5,museum,"{0: {'open': '1000', 'close': '1430'}, 1: {'open': '1000', 'close': '2100'}, 3: {'open': '1000', 'close': '2100'}, 4: {'open': '1000', 'close': '2100'}, 5: {'open': '1000', 'close': '2100'}, 6: {'open': '1000', 'close': '2100'}}"
